 ,Northland,Auckland,Coromandel,Waikato,Bay of Plenty,Rotorua,Taupo,Whakatane-Kawerau,Gisborne,Taranaki,Hawke's Bay,Ruapehu,Manawatu,Whanganui,Wairarapa,Kapiti-Horowhenua,Wellington,Marlborough,Nelson-Tasman,Canterbury,Hurunui,Mackenzie,Timaru,West Coast,Wanaka,Queenstown,Waitaki,Central Otago,Dunedin,Clutha,Fiordland,Southland,Total New Zealand
2009M01,43.1,56,51.4,38,51.5,54.4,50.8,52.2,42.5,49.3,49.5,21.2,29.2,41.3,31.3,28.5,54.2,54.1,56,50.8,32.8,52.5,42.3,52.3,50.9,56.6,16.6,35.7,59.2,35.5,56.5,39.9,48.3
2009M02,34.4,64.6,39.5,38,39.2,53.7,49.2,26.8,31.1,38.5,44.9,23.5,37.1,42.4,26.2,25.5,71.1,54.2,46.4,54.9,33.4,55,35.1,57.4,38.3,62.9,16.2,18.6,68,36.7,63.5,47.3,48.2
2009M03,28.9,61.2,29.7,40.4,31.5,48.9,46.4,20.2,25.6,36.2,42.8,24,37,31.2,21.5,25.3,71,47.7,33.5,51.3,30.4,44.2,31.2,47.9,30.1,59.4,12.5,17.4,63.1,31.7,51.6,41.3,43.6
2009M04,27.5,50.7,27.3,37.3,30.3,48,41.7,21.2,23.5,32.2,37.5,19.6,33,32.1,20.3,23.7,63.5,38.4,26.1,42.4,27.1,36.8,29.7,39.2,25.6,49.7,10.5,20.3,52.8,26.5,36,33.4,37.8
2009M05,18.6,44.6,14.2,29.3,25.3,35.4,28.8,14.7,17.1,25.2,24.5,17,33.7,22.5,15.8,17.3,57,25.6,18.6,34.1,19.2,26.4,24,27.6,19.5,36.1,17.5,9.8,43.8,21,22.2,25.9,30
2009M06,13.7,41.2,10.2,28.2,19.8,28.9,24.4,12.4,13.4,21.3,19.8,17.5,28.1,22.1,12,11.1,49.6,19.1,14.7,28.3,13.4,15.2,19.3,20,18.2,36.4,13.9,6.2,34.8,10,11.3,18.6,25.4
2009M07,14.6,48,11.3,27.6,21.3,33.4,32.4,12.2,12,24.9,22.6,37.2,32.7,20.7,13.6,12.2,51.4,22,14.8,33.7,18.6,25,20.2,22.6,37.2,60.3,18.2,8.9,40.4,11.5,12.1,21.4,30.4
2009M08,13.4,44.6,10.8,27.2,20.3,29,28,12.4,12,23.3,23.2,35.7,33.8,19.1,12.7,12,47.3,21,15.4,33,17,23.1,20.8,21.3,43.6,57.5,17.3,9.7,42.9,11.3,11.4,22.6,29.1
2009M09,17.3,47.8,15.3,32,23.9,35.8,32.2,14,13.5,27.3,27.3,34.8,34.2,23,14.4,17,56.7,20.3,17.6,36,18.3,24.2,23.6,25.6,32.5,44.9,19.9,10.9,43.3,11.4,18.6,26.6,31.6
2009M10,21.1,52.6,19.3,32.4,25.6,40,36.4,15.6,17.4,28.9,31.1,20.9,29.9,25.4,15.5,15.5,59.9,26,20.2,40.9,21.5,27.7,26.7,32.6,24,39.8,9.3,11.1,45.5,17,26.1,27.7,33.4
2009M11,24.2,57.8,24,32,25.9,43.4,40.1,18.2,20,29.7,33.6,17.1,31.9,26.4,17.9,18.4,62,34,26.8,47.2,23.3,38.4,28.4,40.4,24.2,50.7,11.8,12.5,52.4,18.5,44,35.1,37.8
2009M12,31.1,52.4,39.6,30.9,37.2,46.6,41.2,29,26.2,33.8,37.6,20,28,28.1,22.2,19.4,50.6,40,36,43.4,26.7,47.1,33.8,43.4,36.9,53.4,14,26.7,48.7,28.3,48.5,31.8,39.6
2010M01,43.4,56.2,55.4,41.4,51.6,56.8,49.3,43.6,47.8,41.5,50.2,21.5,29.3,35.7,31,26.9,56.8,51.3,57.2,52.8,34.9,57,42.1,54.6,52.5,66.6,17.9,37.9,57.2,31.6,56.3,39.3,49.5
2010M02,34.2,63.7,36.6,41.5,40,53.4,46.3,26.9,33.5,36.9,45.4,27.4,38.9,35.6,26.4,24.7,74.4,49.9,46,55.4,32.7,56.4,32.1,58.4,37.3,66.6,16.5,16.6,69.8,35.3,62.5,50.2,48.5
2010M03,28.1,60.6,31.1,40.8,34.9,48.7,44.5,21.4,23.1,36.7,42.2,22,40.9,31.3,24.5,24.7,68.7,42.9,34.8,51.4,29.8,45.7,29.7,46.1,29.5,65.1,14.6,17.4,63.1,28.2,49.9,40.4,43.7
2010M04,26.1,51.9,23.7,38.1,33.2,43.9,37.5,17.7,23.5,34.1,36,19.1,32.1,28.7,20.8,23.8,56.7,37.2,27.1,42.6,25.5,36.3,26.8,37.2,26.5,54.2,11.3,20.6,53.1,22.2,33.7,34.4,37.3
2010M05,17.9,46.7,12.8,29.5,28.6,31.1,25.6,12.4,14.4,24,22.4,11.8,31.5,21.5,14.1,13.8,50.5,20.4,17.1,31.2,14.6,21.8,19.1,22.9,14,34.3,17.5,7.1,43.3,14.2,16.2,25.6,28.1
2010M06,14.7,42.4,10.8,31.6,25.2,32.2,24.5,12.1,13.9,26,23,16,29.5,18.5,13.2,12.6,49.3,18.9,14.7,29.4,16.1,19.4,19.1,18.7,14.3,40.9,14.4,6.2,38.7,15.8,11.7,22.2,26.9
2010M07,14.6,45.3,10,28.8,26.7,36.4,29.7,11.4,15.3,24.8,22.9,31.1,30.5,21.9,14,11.4,49.4,20.5,15.9,33.4,23.1,27,18.7,22.1,30.8,64.7,16.8,6.6,40.4,13.5,11.4,23.4,30.5
